province,january_2019,february_2019,march_2019,april_2019,may_2019,june_2019,july_2019,august_2019,september_2019,october_2019,november_2019,december_2019,january_2020,february_2020,march_2020,april_2020,may_2020,june_2020,july_2020,august_2020,september_2020,october_2020,november_2020,december_2020,january_2021,february_2021,march_2021,april_2021,may_2021,june_2021,july_2021,august_2021,september_2021,october_2021,november_2021,december_2021,january_2022,february_2022,march_2022,april_2022,may_2022,june_2022,july_2022,august_2022,september_2022,october_2022,november_2022,december_2022,january_2023,february_2023,march_2023,april_2023,may_2023,june_2023,july_2023,august_2023,september_2023,october_2023,november_2023,december_2023
BANTEN,3499099,2693769,2938462,2963258,2694170,3763715,3571783,3972592,3532654,4205610,4339169,3633256,3493296,3108353,2403198,1058760,1372881,1757307,2276198,2660062,1938669,2516445,2951355,3305453,2505336,2674036,2951840,2864905,3435666,2684415,1859367,2654678,3508920,4154690,3955307,3484770,2477846,1976399,3158598,2469664,4021101,3150313,3451864,3312882,3701537,4003986,3234134,3639318,4325638,3898615,3333376,2979960,3255453,3021918,3606807,3255128,3929704,4048337,3940520,4804045
BALI,1316977,1225808,1465586,1483415,1185662,1822787,1682553,1618973,1445303,1627142,1618206,1571722,1198046,1076140,684140,273450,261406,427300,596736,773886,737473,798998,847456,1144499,735234,627391,739544,913033,873863,942465,441796,575592,768756,1023186,1025748,1318502,991643,746026,1216580,1015904,1368766,1374366,1288444,1152090,1125727,1172441,1118730,1688997,1830882,1284069,1278466,1616487,1619283,2090327,1955513,1751039,1747551,1874460,1777605,2007821
NUSA TENGGARA BARAT,638044,650532,615424,623576,672162,905622,768494,752154,691694,745786,742083,773833,357562,346046,266947,114758,134465,219509,292720,345466,303882,321857,297806,371680,222304,195816,244434,237622,313718,311343,224399,232826,253597,300825,272499,329405,264251,233313,441171,266829,431606,347975,351214,288102,286740,276772,324132,579154,774963,574848,525034,609687,1025070,1628775,1718321,1406166,1254525,1326692,1287287,791036
NUSA TENGGARA TIMUR,730527,588445,609906,656777,668972,800071,761909,643008,323446,365828,354781,768865,196280,177430,161512,102092,78698,123912,180686,208219,204091,269250,232124,359388,236790,162261,222653,173424,180257,246405,205857,218815,277164,310030,283321,591838,498022,279400,440468,222175,281871,283506,309202,252218,249094,245510,290876,497011,657639,367905,269024,291353,344325,501565,494235,348069,339774,345529,335297,769609
KALIMANTAN BARAT,868324,718122,702067,667426,668813,965873,737058,750991,611793,644920,647391,919685,238250,192950,133713,58284,70612,114469,156207,188940,139666,157775,142495,261247,165093,194460,188046,171318,177093,191558,158340,186790,201094,236697,199557,341346,270324,235449,250992,230254,365089,271558,315667,258920,239591,260901,235452,345666,419418,321107,306368,390690,404409,407707,407292,327538,295721,312246,356052,762490
KALIMANTAN TENGAH,583298,422358,478327,459150,481899,578068,495108,490930,468770,455242,467380,583207,199469,184057,162270,78802,75118,105229,153741,178547,177946,191431,178377,218817,153097,151390,167356,155904,160403,187859,136067,130487,151033,182649,153217,245330,196995,175867,210680,204164,255832,220878,257012,223441,217319,230067,209125,282224,304152,241954,245960,275200,299372,340119,337424,334553,277704,276691,222334,867859
KALIMANTAN SELATAN,798371,624476,1065096,684460,686310,995857,781045,807828,685513,718103,763093,899515,453132,525682,388598,142599,140584,217081,299967,378968,340628,401871,373595,470887,321253,313139,351197,328515,389760,381521,346333,265638,323585,415035,373463,473090,401029,352761,429164,325854,620601,432460,529472,422558,399050,449173,416227,532388,630195,481876,477294,578791,589759,630115,673975,520794,517769,542022,445758,1781498
KALIMANTAN TIMUR,979211,691855,782692,774765,797668,999931,845422,845716,747355,817926,799348,991646,314243,286192,217704,91121,95763,153412,179746,193051,179654,209778,208725,275463,165649,154006,194579,189339,211241,233957,137412,155570,207404,243553,221625,378506,310053,256145,332387,306368,483121,454319,573460,521964,507079,533691,514833,638297,641896,579530,580672,580561,643021,695994,663800,620068,597562,560799,564435,1174998
KALIMANTAN UTARA,143744,109695,132047,127958,136905,143427,129237,128417,112758,120089,121255,144538,27906,28952,22807,9670,8536,12698,17870,19917,20879,22363,22030,68039,37548,26992,27340,22191,20610,24856,18927,17571,22787,29487,24119,36413,26920,23240,28683,26925,30226,30204,32132,29288,27807,30041,29600,39514,35205,32471,39504,37128,46157,54764,52221,51470,44774,51068,42636,101473
SULAWESI UTARA,256496,112937,197795,221246,235233,325311,336575,305167,267290,307207,286146,293133,156614,154197,158677,66627,58036,112243,193492,259030,282281,335445,326566,377599,252298,284672,316834,319841,372363,344017,237853,237457,290810,340274,333070,403468,327133,260815,347157,349618,503507,394131,436556,352431,360004,365860,322748,401895,421675,329629,358498,468296,460407,480374,492400,422694,440086,427074,390052,707661
SULAWESI TENGAH,451254,308973,374463,374029,368161,380756,323650,506559,404438,469816,494853,418240,185796,176960,145200,65380,65852,86803,119534,157123,132882,109312,137047,189733,140380,139294,177093,154719,187679,183102,155542,131074,157759,187825,168918,243526,195589,173663,609507,691868,817447,597158,646673,532060,515189,543272,555548,575043,667588,567749,695711,702310,716311,465410,377459,302353,251645,264313,284303,993915
SULAWESI SELATAN,2054894,1402775,1654575,1799377,1653101,2395339,1917506,2516211,2106120,2341121,2345045,2230009,1027653,932636,759362,287133,308242,547513,663996,909748,850322,959171,906014,1063264,743342,724546,847765,765199,937945,928134,838925,723167,824543,960245,842440,1091834,930906,803391,3267252,3768595,4619651,2492319,2732814,2136650,1803376,1922182,1834305,2287771,2682502,2225280,2455952,2503880,2472401,1983399,2212555,1397173,1188982,1177955,1233382,3893499
SULAWESI TENGGARA,534762,405350,436423,487941,445093,621228,487514,532628,439248,303878,300770,580664,206468,193500,143516,71545,71224,106867,146936,181890,206855,193265,191705,269241,209867,189183,208125,187883,237647,212043,190375,179936,214553,237909,220257,293377,243982,220654,1495127,1585129,1592211,1050720,1231851,1097809,1044426,1056378,1136194,1028565,1372219,1299527,1389727,1281173,1294740,899696,838914,480612,376071,365686,386244,1085338
GORONTALO,90789,48019,84467,102283,109827,163192,123297,131352,106151,139035,120291,127908,48443,44850,54723,33603,27476,49003,68769,83192,94892,108500,101882,132725,90759,92165,103269,89741,117211,100327,92090,85478,97555,104446,93069,122720,104369,88530,151616,140420,189314,130595,140784,113456,109350,100365,92496,117518,139879,114908,132863,164216,162712,154749,156871,134793,139730,131858,125945,347397
SULAWESI BARAT,197588,134391,163587,174495,152740,221961,173239,262037,204889,242300,236861,210792,105991,97671,69873,26873,22014,49222,61561,80440,75891,75517,75153,110693,124447,77882,81571,70523,88146,91217,89158,80028,90870,91955,86912,109793,86174,83763,425016,516032,611768,409575,442861,373165,318147,311722,310736,345542,423949,380529,425711,399963,406264,297134,294755,157794,110449,111448,126041,376924
MALUKU,258094,193290,206894,216036,228658,224863,111095,104002,91767,96055,97869,243228,38562,36768,29688,10479,7978,11914,15625,21065,23965,29428,30269,147307,78120,47482,48787,71019,50091,55585,32749,38200,46237,52031,51355,68109,41334,35725,49734,57885,56722,51382,48932,46979,52568,52357,43671,75278,66046,49253,55659,62401,75390,85195,77652,78196,69657,79054,78630,284711
MALUKU UTARA,125514,76500,166014,190003,163855,119683,102619,99582,85337,177456,163370,124114,46810,47758,38527,22439,12649,23881,36540,43536,47792,50275,48505,83999,68567,47555,54200,51844,57892,57866,44031,46619,51543,67386,51408,73794,60617,55228,141231,152337,166862,140421,157797,135693,132686,119219,115762,133388,118409,109334,136684,142086,148300,162908,157597,144689,135130,126786,123916,302181
PAPUA BARAT,185287,143094,159903,152087,161711,172118,164784,158220,73498,93397,94620,180580,46741,44158,34282,9348,11657,17414,22301,23616,23906,26119,32062,50886,56475,49044,41249,35284,31565,42558,26814,29913,42337,40861,33842,55063,35776,30984,37297,34020,38551,39956,39706,40948,39159,40627,36457,56395,47444,38921,40975,39759,49782,62022,58569,53329,46999,53875,57701,213062
PAPUA,313389,209857,224960,209282,235428,240501,234623,224909,174820,204906,212794,280181,75045,73078,57571,24783,26829,35260,45320,46725,50583,55847,58583,136898,124573,56995,69170,86207,56054,86681,50949,48378,90643,79326,63345,114802,71001,63721,76243,69361,77379,81989,86039,84147,78700,81068,78388,111840,94530,76336,87194,87917,100494,133566,123085,114107,107044,119299,125457,419322
